伯, 3718
虐, 3714
徐, 3708
漂, 3707
拭, 3701
随, 3697
滴, 3693
拍, 3680
粋, 3675
寸, 3654
塞, 3648
旦, 3616
亀, 3602
蹴, 3596
鉛, 3589
拝, 3578
仙, 3577
呆, 3577
翼, 3575
膚, 3572
塁, 3560
菓, 3530
喉, 3526
鎖, 3521
袖, 3519
舗, 3516
暇, 3514
隙, 3510
羊, 3507
寧, 3504
貼, 3504
篇, 3499
瓶, 3498
拾, 3492
狩, 3491
諦, 3485
暖, 3481
猛, 3477
謀, 3475
艦, 3471
澄, 3468
灰, 3457
膜, 3436
箇, 3408
郵, 3404
籠, 3400
据, 3398
励, 3397
圏, 3395
殴, 3392
遭, 3389
斬, 3384
鎌, 3381
浩, 3378
克, 3373
潔, 3373
篠, 3365
是, 3363
架, 3340
忍, 3337
鎮, 3332
啓, 3327
繊, 3326
荘, 3321
乏, 3291
泳, 3289
嘆, 3284
妊, 3276
抄, 3270
炒, 3251
巣, 3227
芽, 3227
尚, 3222
堅, 3218
塔, 3217
褒, 3211
裸, 3206
頻, 3201
濡, 3200
疫, 3161
從, 3159
宛, 3158
肪, 3143
抽, 3131
漬, 3127
兆, 3126
刃, 3105
腫, 3101
嘉, 3091
劣, 3090
馴, 3089
僧, 3088
湧, 3080
孝, 3078
錯, 3069
帽, 3068
呪, 3065
粗, 3063
拘, 3061
燥, 3058
巧, 3056
釣, 3053
撲, 3052
彫, 3050
惨, 3046
拙, 3035
浪, 3033
冠, 3029
旬, 3027
鋼, 3023
浄, 3020
壇, 3018
哉, 3013
瞳, 3012
肥, 3011
拳, 3000
芳, 2991
斉, 2989
杏, 2974
繫, 2973
癖, 2969
貿, 2967
喪, 2947
嶋, 2939
摑, 2934
悠, 2932
洞, 2931
撫, 2914
岐, 2910
粘, 2907
耕, 2907
秩, 2905
肯, 2901
禍, 2895
叔, 2886
嵐, 2880
縛, 2880
駈, 2880
緯, 2877
搬, 2872
征, 2871
蓄, 2870
撤, 2842
涯, 2827
稽, 2824
憧, 2821
弓, 2819
銅, 2818
憎, 2816
噴, 2813
莉, 2805
云, 2803
殖, 2802
慈, 2799
犠, 2798
肢, 2793
辰, 2788
爪, 2786
慰, 2779
牲, 2779
滝, 2774
渥, 2763
酢, 2758
篤, 2752
綺, 2747
貢, 2739
偏, 2735
舟, 2732
菊, 2732
賠, 2730
寛, 2723
李, 2721
胆, 2711
祐, 2710
祉, 2708
涼, 2705
郡, 2705
溢, 2701
軟, 2690
盾, 2677
践, 2677
辻, 2673
衰, 2668
柴, 2663
匹, 2661
藝, 2660
泰, 2652
覇, 2643
嬢, 2640
喧, 2630
遼, 2611
姓, 2608
竜, 2607
径, 2601
冗, 2599
暦, 2599
雷, 2599
顕, 2592
漠, 2587
昌, 2569
虎, 2569
鼓, 2565
睨, 2563
苛, 2562
珠, 2551
惹, 2547
飽, 2523
矛, 2514
遮, 2494
塊, 2492
鍛, 2492
顎, 2492
蓋, 2488
霧, 2486
墳, 2484
吞, 2477
陛, 2468
沸, 2461
翔, 2458
貝, 2454
傘, 2452
戯, 2443
培, 2440
桑, 2438
剝, 2432
塾, 2429
旋, 2417
賭, 2413
粧, 2408
惜, 2406
剰, 2405
砕, 2399
轄, 2395
股, 2391
幽, 2382
侍, 2374
壮, 2370
芦, 2370
喩, 2368
剛, 2361
蛇, 2361
簿, 2356
叶, 2354
祥, 2345
茎, 2343
貌, 2338
炉, 2333
篆, 2330
疎, 2317
掌, 2315
恨, 2314
棟, 2310
歪, 2307
窮, 2307
輔, 2307
縫, 2300
國, 2298
召, 2271
擦, 2270
憂, 2269
雀, 2257
炊, 2254
璧, 2253
藍, 2251
乙, 2247
葛, 2246
晶, 2223
堪, 2220
凡, 2218
帆, 2218
紋, 2217
宏, 2215
昧, 2211
朔, 2206
耗, 2206
泡, 2204
駒, 2204
翁, 2196
需, 2191
鳩, 2190
披, 2189
梨, 2188
這, 2187
卑, 2176
奨, 2164
扇, 2164
宴, 2156
銘, 2151
鬱, 2140
虹, 2138
鉢, 2123
呑, 2118
酬, 2116
癒, 2115
隈, 2113
蘭, 2108
尉, 2107
阻, 2101
寮, 2099
貰, 2098
婆, 2094
夷, 2084
峰, 2084
痴, 2083
猿, 2071
恭, 2067
怯, 2062
洲, 2059
濯, 2059
禅, 2056
辿, 2051
硫, 2050
妄, 2043
桐, 2042
惚, 2038
妨, 2037
愉, 2036
苗, 2029
坐, 2023
栽, 2023
憩, 2020
騙, 2019
聲, 2016
軌, 2009
挿, 2006
嘩, 1998
怠, 1998
嘘, 1994
厄, 1976
聡, 1975
唾, 1974
祀, 1974
娠, 1971
耶, 1963
蘇, 1960
溝, 1954
笠, 1952
岳, 1951
稚, 1949
吊, 1940
郭, 1940
窃, 1936
痕, 1931
粛, 1926
斐, 1922
戚, 1919
陶, 1914
墨, 1905
枯, 1890
譜, 1886
圭, 1884
享, 1882
亭, 1881
幣, 1879
擁, 1877
曖, 1872
孔, 1867
畜, 1865
燕, 1858
后, 1856
弦, 1853
瓦, 1853
桂, 1847
爵, 1843
憤, 1842
枕, 1837
潟, 1836
汰, 1834
妥, 1829
殻, 1829
紺, 1829
謙, 1823
槽, 1815
陳, 1814
朴, 1810
笛, 1807
符, 1806
凶, 1805
拉, 1805
斧, 1798
硝, 1795
懲, 1794
綴, 1791
猪, 1787
隷, 1784
伐, 1780
腺, 1778
謡, 1778
艶, 1775
搔, 1773
赦, 1773
誓, 1770
猟, 1765
濁, 1753
曽, 1742
傑, 1739
琴, 1735
渇, 1728
亮, 1726
媒, 1709
班, 1709
埼, 1705
爽, 1703
忌, 1700
晋, 1690
狼, 1688
繋, 1684
幌, 1683
窺, 1682
腎, 1680
綾, 1679
醒, 1678
郊, 1674
囚, 1673
箸, 1670
俵, 1666
宰, 1666
盆, 1666
妖, 1664
遥, 1664
腔, 1663
胎, 1662
諾, 1657
揉, 1656
諭, 1653
條, 1652
崇, 1635
稀, 1635
墜, 1634
昆, 1630
喚, 1629
辱, 1622
渦, 1615
賊, 1607
瘍, 1602
伺, 1595
堤, 1592
𠮟𠮟, 1591
詠, 1590
舐, 1587
敢, 1584
訂, 1582
胡, 1580
贅, 1575
咳, 1571
喰, 1570
恒, 1570
菱, 1569
刈, 1562
襟, 1562
玲, 1558
囁, 1557
尖, 1556
鷹, 1556
噌, 1553
彰, 1552
髭, 1552
庶, 1550
憑, 1547
芯, 1546
淳, 1545
曇, 1541
紐, 1535
蜂, 1535
儲, 1532
崖, 1530
杖, 1530
諺, 1530
蓮, 1527
穀, 1522
鐘, 1520
顆, 1517
伎, 1515
嗅, 1513
唆, 1511
循, 1511
糧, 1511
髙, 1502
絹, 1497
薩, 1485
馳, 1480
裾, 1478
胴, 1476
柏, 1475
衡, 1471
洩, 1469
斗, 1465
眩, 1456
飢, 1456
壌, 1453
妬, 1447
尺, 1441
弊, 1440
薦, 1440
梁, 1439
爺, 1437
赴, 1435
俯, 1427
滲, 1419
坪, 1418
渕, 1414
瑞, 1408
學, 1407
呈, 1403
懇, 1391
或, 1384
眞, 1376
姻, 1375
捧, 1374
蝶, 1372
錦, 1370
曰, 1369
肘, 1364
堵, 1361
荻, 1357
洒, 1349
髄, 1349
逝, 1341
此, 1337
槍, 1336
閲, 1335
閥, 1325
碑, 1321
勃, 1319
滋, 1319
泌, 1316
挫, 1308
塀, 1307
賑, 1307
醜, 1307
庄, 1306
悦, 1304
躇, 1303
頓, 1300
賄, 1296
酵, 1295
淵, 1289
醸, 1288
梗, 1284
栃, 1279
磯, 1279
笹, 1279
瘦, 1277
筑, 1277
穫, 1276
弄, 1275
皺, 1275
蔑, 1273
零, 1270
楼, 1264
鴨, 1263
唸, 1259
繕, 1259
其, 1256
宜, 1256
躰, 1255
鮫, 1253
匿, 1252
喝, 1250
棲, 1246
芥, 1246
甚, 1241
膳, 1239
痺, 1238
羨, 1238
騰, 1237
遷, 1236
堺, 1233
蜜, 1232
骸, 1232
栓, 1230
敦, 1228
薫, 1227
廻, 1226
倣, 1223
碗, 1223
罵, 1220
窟, 1219
椎, 1208
儒, 1207
奔, 1200
蒼, 1200
凸, 1196
紳, 1196
於, 1195
癌, 1195
丼, 1193
焚, 1188
嫉, 1187
虜, 1184
麵, 1184
塵, 1183
餌, 1181
綻, 1176
擬, 1169
釜, 1160
扶, 1157
訝, 1154
晃, 1151
漆, 1150
烏, 1149
閑, 1148
靖, 1147
梶, 1143
麺, 1141
准, 1140
櫓, 1135
旭, 1134
毅, 1132
茉, 1129
垢, 1128
鞄, 1128
濫, 1121
橘, 1114
捻, 1112
絆, 1110
恰, 1109
吟, 1099
阜, 1099
穐, 1095
嘲, 1094
煩, 1092
陵, 1091
膀, 1086
鮭, 1086
慨, 1084
